log_time_ms,snapshot_id,seq_num,clients_count,bytes_sent,bandwidth_kbps,cpu_percent
1766560921276,0,0,0,0,0.0,17.1
1766560921327,1,1,0,0,0.0,17.1
1766560921377,2,2,0,0,0.0,9.1
1766560921428,3,3,0,0,0.0,12.3
1766560921479,4,4,0,0,0.0,3.3
1766560921530,5,5,0,0,0.0,13.8
1766560921580,6,6,0,0,0.0,13.5
1766560921631,7,7,0,0,0.0,6.5
1766560921682,8,8,0,0,0.0,13.1
1766560921732,9,9,0,0,0.0,14.3
1766560921783,10,10,0,0,0.0,4.4
1766560921834,11,11,0,0,0.0,9.4
1766560921885,12,12,0,0,0.0,16.3
1766560921935,13,13,0,0,0.0,13.8
1766560921986,14,14,0,0,0.0,10.9
1766560922036,15,15,0,0,0.0,5.2
1766560922086,16,16,0,0,0.0,8.5
1766560922137,17,17,0,0,0.0,6.4
1766560922188,18,18,0,0,0.0,11.8
1766560922238,19,19,0,0,0.0,16.9
1766560922289,20,20,0,0,0.0,2.2
1766560922340,21,21,0,0,0.0,4.8
1766560922391,22,22,0,0,0.0,12.5
1766560922441,23,23,0,0,0.0,7.5
1766560922492,24,24,0,0,0.0,15.0
1766560922543,25,25,0,0,0.0,3.9
1766560922594,26,26,0,0,0.0,4.2
1766560922644,27,27,0,0,0.0,14.9
1766560922696,28,28,0,0,0.0,16.0
1766560922746,29,29,0,0,0.0,6.1
1766560922797,30,30,0,0,0.0,2.1
1766560922848,31,31,0,0,0.0,27.3
1766560922899,32,32,0,0,0.0,6.1
1766560922949,33,33,0,0,0.0,8.0
1766560923000,34,34,0,0,0.0,16.3
1766560923050,35,35,0,0,0.0,13.7
1766560923101,36,36,0,0,0.0,9.3
1766560923152,37,37,0,0,0.0,5.8
1766560923203,38,38,0,0,0.0,12.9
1766560923254,39,39,0,0,0.0,18.2
1766560923305,40,40,0,0,0.0,7.3
1766560923356,41,41,0,0,0.0,3.3
1766560923406,42,42,0,0,0.0,4.5
1766560923457,43,43,0,0,0.0,10.9
1766560923508,44,44,0,0,0.0,8.2
1766560923558,45,45,0,0,0.0,7.1
1766560923609,46,46,0,0,0.0,0.0
1766560923660,47,47,0,0,0.0,3.9
1766560923711,48,48,0,0,0.0,2.9
1766560923761,49,49,0,0,0.0,7.5
1766560923812,50,50,0,0,0.0,3.6
1766560923863,51,51,0,0,0.0,6.1
1766560923914,52,52,0,0,0.0,8.7
1766560923964,53,53,0,0,0.0,14.3
1766560924015,54,54,0,0,0.0,8.8
1766560924071,55,55,0,0,0.0,24.1
1766560924122,56,56,0,0,0.0,21.2
1766560924173,57,57,0,0,0.0,14.0
1766560924224,58,58,0,0,0.0,27.8
1766560924274,59,59,0,0,0.0,13.2
1766560924325,60,60,0,0,0.0,14.6
1766560924380,61,61,0,0,0.0,48.4
1766560924433,62,62,1,134,0.33,59.3
1766560924484,63,63,1,134,0.66,48.9
1766560924536,64,64,1,134,0.97,36.8
1766560924587,65,65,1,134,1.27,21.8
1766560924639,66,66,1,134,1.57,29.4
1766560924690,67,67,1,134,1.86,23.3
1766560924741,68,68,1,134,2.13,11.9
1766560924793,69,69,1,134,2.4,10.2
1766560924845,70,70,1,114,2.62,28.6
1766560924896,71,71,1,134,2.88,13.1
1766560924947,72,72,1,134,3.12,10.9
1766560924998,73,73,1,134,3.37,12.2
1766560925049,74,74,1,134,3.6,8.6
1766560925100,75,75,1,134,3.83,9.8
1766560925151,76,76,1,134,4.05,10.2
1766560925202,77,77,1,134,4.27,14.3
1766560925253,78,78,1,141,4.5,12.5
1766560925304,79,79,1,141,4.72,14.3
1766560925355,80,80,1,125,4.9,14.5
1766560925406,81,81,1,134,5.1,18.5
1766560925456,82,82,1,134,5.29,8.0
1766560925507,83,83,1,134,5.48,14.0
1766560925558,84,84,1,134,5.66,11.1
1766560925609,85,85,1,134,5.84,2.1
1766560925660,86,86,1,134,6.01,15.3
1766560925711,87,87,1,134,6.18,11.1
1766560925762,88,88,1,134,6.35,7.4
1766560925813,89,89,1,134,6.51,3.9
1766560925864,90,90,1,119,6.65,5.6
1766560925916,91,91,1,134,6.8,3.8
1766560925966,92,92,1,141,6.97,10.5
